"Graph 5.1 Net overseas migration(a) - larger states(b) - year ending"
,"NSW ('000)","Vic. ('000)","Qld ('000)","WA ('000)"
"Jun-14","66.99","56.91","27.22","18.75"
"Sep-14","67.67","57.64","24.70","16.39"
"Dec-14","68.35","58.39","23.03","15.51"
"Mar-15","69.44","58.93","21.26","13.99"
"Jun-15","70.31","60.69","20.43","14.07"
"Sep-15","71.48","61.96","19.29","13.44"
"Dec-15","72.84","64.19","19.48","12.74"
"Mar-16","76.00","68.88","21.38","12.48"
"Jun-16","80.01","72.22","24.95","11.62"
"Sep-16","89.66","78.59","29.71","12.12"
"Dec-16","96.20","82.91","32.43","11.96"
"Mar-17","103.20","89.91","33.92","11.74"
"Jun-17","105.50","91.24","34.08","12.01"
"Sep-17","103.51","91.29","31.76","11.93"
"Dec-17","94.93","87.13","27.64","11.70"
"Mar-18","92.16","86.30","27.60","11.29"
"Jun-18","90.65","86.97","27.74","11.98"
"Sep-18","90.06","87.98","30.30","12.62"
"Dec-18","92.89","89.54","33.74","14.55"
"Mar-19","89.57","89.09","33.69","16.45"
"Jun-19","84.54","85.48","31.75","17.48"
"Sep-19","80.29","85.83","32.59","21.02"
"Dec-19","79.28","85.06","33.92","25.51"
"Mar-20","73.83","75.96","35.09","28.86"
"Jun-20","57.89","60.57","27.97","25.17"
"Sep-20","24.44","14.04","10.73","14.97"
"Dec-20","6.94","-20.37","-1.02","5.19"
"Mar-21","-15.38","-51.66","-15.19","-5.43"
"Jun-21","-7.33","-52.99","-12.86","-5.07"
"Sep-21","-3.35","-37.33","-7.55","-3.48"
"Dec-21","11.90","-5.55","-0.79","-1.21"
"Mar-22","48.57","39.71","16.85","6.60"
"Jun-22","69.11","66.05","29.62","15.34"
"Sep-22","117.91","108.56","50.10","30.79"
"Dec-22","145.61","133.06","67.64","46.28"
"Mar-23","162.19","147.69","78.23","60.09"
"Jun-23","177.10","159.42","86.01","66.61"
"Sep-23","183.45","164.02","90.21","70.52"
"Dec-23","174.68","157.32","87.97","69.10"
"Mar-24","163.43","149.18","83.19","65.10"
"Jun-24","142.47","132.86","74.93","58.08"

"a. Estimates from September quarter 2023 onwards are preliminary. See revision status on the methodology page."
"b. Based on the states with the largest volume of migrant arrivals and migrant departures in year ending June 2024."

"Source: Australian Bureau of Statistics, Overseas Migration 2023-24 financial year"
