Age,2018-19 - Males ('000),2018-19 - Females ('000),2022-23 - Males ('000),2022-23 - Females ('000),2023-24 - Males ('000),2023-24 - Females ('000)
0-9,26190.0,24960.0,29930.0,28610.0,30490.0,28900.0
10-19,38370.0,33730.0,49180.0,43070.0,45870.0,43740.0
20-29,114310.0,112050.0,160110.0,157110.0,134620.0,137560.0
30-39,51310.0,50800.0,80810.0,74100.0,67780.0,65150.0
40-49,19910.0,19460.0,28590.0,25340.0,26800.0,24780.0
50-59,11590.0,14730.0,12060.0,15130.0,11250.0,14840.0
60-69,10890.0,12550.0,9740.0,13190.0,9560.0,13000.0
70-79,3970.0,3860.0,4570.0,5350.0,4800.0,5320.0
80-89,770.0,840.0,1000.0,1290.0,990.0,1190.0
90-99,50.0,80.0,70.0,140.0,70.0,110.0
100+,0.0,10.0,0.0,0.0,0.0,0.0
